 ,Date,(1.) 1M 100%,(2.) Hist Vo
Imp Vol,-20,,
Mon,12/4/2023,41.847,52.05
Fri,12/1/2023,39.958,51.62
Thu,11/30/23,40.254,49.75
Wed,11/29/23,40.534,49.6
Tue,11/28/23,39.409,48.97
Mon,11/27/23,39.297,48.76
Fri,11/24/23,40.059,49.31
Thu,11/23/23, , 
Wed,11/22/23,41.306,48.77
Tue,11/21/23,40.807,48.44
Mon,11/20/23,41.531,51.75
Fri,11/17/23,42.54,51.03
Thu,11/16/23,42.962,51.17
Wed,11/15/23,43.516,50.33
Tue,11/14/23,43.612,41.09
Mon,11/13/23,62.165,39.13
Fri,11/10/2023,61.208,39.8
Thu,11/9/2023,60.878,43.16
Wed,11/8/2023,58.741,38.49
Tue,11/7/2023,58.123,40.95
Mon,11/6/2023,58.345,41.6
Fri,11/3/2023,59.546,41.69
Thu,11/2/2023,60.429,41.45
Wed,11/1/2023,62.291,41.38
Tue,10/31/23,63.849,42.63
Mon,10/30/23,64.183,44.54
Fri,10/27/23,68.208,42.57
Thu,10/26/23,67.684,47.96
Wed,10/25/23,64.962,53.66
Tue,10/24/23,62.779,50.54
Mon,10/23/23,61.937,50.08
Fri,10/20/23,61.791,52.1
Thu,10/19/23,60.569,52.77
Wed,10/18/23,61.714,53.125
Tue,10/17/23,58.336,53.9
Mon,10/16/23,54.611,52.105
Fri,10/13/23,53.79,46.573
Thu,10/12/2023,50.443,47.303
Wed,10/11/2023,48.334,46.609
Tue,10/10/2023,45.477,52.684
Mon,10/9/2023,46.597,53.035
Fri,10/6/2023,48.345,52.819
Thu,10/5/2023,49.343,50.224
Wed,10/4/2023,49.049,49.665
Tue,10/3/2023,53.573,50.231
Mon,10/2/2023,52.888,51.167
Fri,09/29/23,51.358,47.874
Thu,09/28/23,52.241,42.069
Wed,09/27/23,52.044,41.969
Tue,09/26/23,53.822,42.494
Mon,09/25/23,51.929,39.702
Fri,09/22/23,49.908,39.42
Thu,09/21/23,49.257,38.677
Wed,09/20/23,46.106,41.476
Tue,09/19/23,44.867,41.898
Mon,09/18/23,45.537,41.829
Fri,09/15/23,46.352,42.17
Thu,09/14/23,43.72,41.476
Wed,09/13/23,44.085,35.73
Tue,9/12/2023,42.319,35.363
Mon,9/11/2023,42.234,66.053
Fri,9/8/2023,43.422,65.657
Thu,9/7/2023,44.148,65.904
Wed,9/6/2023,43.628,64.852
Tue,9/5/2023,43.273,65.153
Fri,9/1/2023,41.212,64.077
Thu,08/31/23,42.539,63.505
Wed,08/30/23,42.65,63.493
Tue,08/29/23,42.039,63.732
Mon,08/28/23,43.277,63.344
Fri,08/25/23,43.262,63.346
Thu,08/24/23,44.51,63.953
Wed,08/23/23,44.874,64.612
Tue,08/22/23,45.559,67.47
Mon,08/21/23,42.939,69.262
Fri,08/18/23,43.781,69.191
Thu,08/17/23,43.873,70.194
Wed,08/16/23,43.079,70.111
Tue,08/15/23,45.223,69.573
Mon,08/14/23,65.967,42.085
Fri,8/11/2023,69.357,42.085
Thu,8/10/2023,67.036,46.205
Wed,8/9/2023,65.201,45.54
Tue,8/8/2023,61.086,46.003
Mon,8/7/2023,61.066,45.998
Fri,8/4/2023,61.789,46.079
Thu,8/3/2023,63.414,46.523
Wed,8/2/2023,63.072,46.728
Tue,8/1/2023,61.914,47.475
Mon,07/31/23,61.61,47.529
Fri,07/28/23,62.597,47.049
Thu,07/27/23,62.413,47.471
Wed,07/26/23,60.508,39.558
Tue,07/25/23,59.919,38.816
Mon,07/24/23,59.918,38.587
Fri,07/21/23,60.57,38.905
Thu,07/20/23,61.216,39.384
Tue,07/18/23,61.122,39.425
Mon,07/17/23,60.694,40.301
Fri,07/14/23,52.196,35.017
Thu,07/13/23,49.694,34.526
Wed,7/12/2023,45.596,33.321
Tue,7/11/2023,43.226,35.323
Mon,7/10/2023,42.938,35.176
Fri,7/7/2023,43.931,38.961
Thu,7/6/2023,45.22,39.02
Wed,7/5/2023,42.135,35.648
Tue,7/4/2023, , 
Mon,7/3/2023,42.507,36.026
Fri,06/30/23,42.629,36.502
Thu,06/29/23,44.671,34.932
Wed,06/28/23,44.292,34.824
Tue,06/27/23,44.376,34.438
Mon,06/26/23,43.907,34.218
Fri,06/23/23,43.727,34.293
Thu,06/22/23,43.179,33.894
Wed,06/21/23,44.415,34.922
Tue,06/20/23,45.183,35.718
Mon,06/19/23, , 
Fri,06/16/23,43.477,36.175
Thu,06/15/23,44.271,38.095
Wed,06/14/23,45.216,38.543
Tue,06/13/23,45.186,49.147
Mon,6/12/2023,46.135,61.29
Fri,6/9/2023,46.042,61.612
Thu,6/8/2023,42.584,57.419
Wed,6/7/2023,43.929,56.744
Tue,6/6/2023,44.44,57.262
Mon,6/5/2023,45.378,57.468
Thu,6/1/2023,49.589,58.126
