No.,Trade date,Type,Name,Ticker,Buy/Sell,Call/Put,Currency,Spot price,Strike,Alert - % to strike ,Working delta,% Strike,Expiry day,Stock Qty,Ntl size (mn),Adj. Ntl - USD,Broker,% premium,Premium (USD),Status,PNL,备注,
1,17-Aug-22,OTC - Stock,#NAME?,300012 CH,Sell,Put,CNY,#NAME?,20.00,#NAME?,20.90,95.7%,19-Sep-22,"1,227,800",25.7,3.5,MS,1.78%,"67,283",Expired,#NAME?,"CNY premium - 455,744",#NAME?
2,18-Aug-22,OTC - Stock,#NAME?,300012 CH,Sell,Put,CNY,20.95,20.00,4.5%,20.20,99.0%,19-Sep-22,"437,200",8.8,1.3,MS,2.95%,"38,386",Expired,0,"CNY premium - 260,615",0
3,26-Aug-22,OTC - Stock,,ONON US,Sell,Put,USD,16.56,18.66,-12.7%,20.74,90.0%,26-Sep-22,"240,000",5.0,4.5,MS,2.15%,"106,992",Exercised,"-504,000",,#NAME?
4,13-Sep-22,OTC - Stock,,ONON US,Sell,Put,USD,17.14,18.00,-5.0%,19.28,93.4%,13-Oct-22,"260,000",5.0,4.7,MS,3.29%,"164,944",Exercised,"-223,600",,#NAME?
5,20-Sep-22,OTC - Stock,#NAME?,300012 CH,Sell,Put,CNY,20.35,19.50,4.2%,20.41,95.6%,20-Oct-22,"1,717,000",35.0,4.8,MS,1.32%,"66,104",Expired,0,"CNY premium - 463,518",0
6,20-Oct-22,OTC - Stock,#NAME?,002050 CH,Sell,Put,CNY,22.96,17.60,23.3%,20.70,85.0%,21-Nov-22,"1,693,000",35.1,4.3,MS,1.95%,"94,469",Expired,0,"CNY premium - 683,259/ CLSA在短期的报价可能更好",0
7,4-Nov-22,OTC - Stock,,AMZN US,Sell,Put,USD,91.01,76.24,16.2%,89.69,85.0%,5-Dec-22,"22,500",2.0,1.7,MS,0.80%,"16,144",Expired,0,,0
8,4-Nov-22,OTC - Stock,,ONON US,Sell,Put,USD,18.86,14.95,20.7%,17.59,85.0%,5-Dec-22,"225,000",4.0,3.4,MS,2.10%,"83,115",Expired,0,,0
9,4-Nov-22,OTC - Stock,,PYPL US,Sell,Call,USD,73.62,89.69,21.8%,74.74,120.0%,5-Dec-22,"27,500",2.1,2.5,MS,0.49%,"10,071",Expired,0,,0
10,4-Nov-22,OTC - Stock,,WOLF US,Sell,Put,USD,82.54,59.16,28.3%,73.95,80.0%,5-Dec-22,"13,700",1.0,0.8,MS,1.05%,"10,638",Expired,0,,0
11,7-Nov-22,OTC - Stock,,TSLA US,Sell,Put,USD,173.44,159.20,8.2%,199.00,80.0%,8-Dec-22,"20,200",4.0,3.2,MS,1.36%,"54,613",Expired,0,,0
12,10-Nov-22,OTC - Stock,,NTES US,Sell,Call,USD,69.35,74.64,7.6%,62.20,120.0%,12-Dec-22,"32,100",2.0,2.4,MS,1.03%,"20,566",Expired,0,,0
13,10-Nov-22,OTC - Stock,,PYPL US,Sell,Call,USD,73.80,101.92,38.1%,84.93,120.0%,12-Dec-22,"23,600",2.0,2.4,MS,0.45%,"9,020",Expired,0,,0
14,17-Nov-22,OTC - Stock,,SWAV US,Sell,Put,USD,216.00,193.60,10.4%,242.00,80.0%,19-Dec-22,"8,200",2.0,1.6,MS,0.70%,"13,891",Expired,0,,0
15,18-Nov-22,OTC - Stock,,TSLA US,Sell,Put,USD,149.87,142.40,5.0%,178.00,80.0%,19-Dec-22,"11,200",2.0,1.6,MS,1.47%,"29,306",Expired,0,,0
16,22-Nov-22,OTC - Stock,,ADYEN NA,Sell,Put,EUR,1291.80,1265.47,2.0%,1488.79,85.0%,22-Dec-22,"1,326",2.0,1.7,MS,1.00%,"19,741",Expired,0,,0
17,22-Nov-22,OTC - Stock,,RMS FP,Sell,Put,EUR,1486.50,1239.75,16.6%,1458.50,85.0%,16-Dec-22,"1,341",2.0,1.7,GS,0.50%,"9,779",Expired,0,GS 在RMS的报价上一直比MS好,0
18,28-Nov-22,OTC - Stock,,ADYEN NA,Sell,Put,EUR,1288.60,1250.76,2.9%,1471.48,85.0%,28-Dec-22,654,1.0,0.8,MS,0.90%,"8,661",Expired,0,,0
19,28-Nov-22,OTC - Stock,,STAA US,Sell,Put,USD,46.82,50.15,-7.1%,59.00,85.0%,28-Dec-22,"33,500",2.0,1.7,MS,1.50%,"29,648",Exercised,"-111,555",,#NAME?
20,28-Nov-22,OTC - Stock,,UMG NA,Sell,Call,EUR,22.52,25.65,13.9%,22.31,115.0%,28-Dec-22,"172,313",3.8,4.4,MS,0.37%,"14,216",Expired,0,,0
21,29-Nov-22,OTC - Stock,#NAME?,002050 CH,Sell,Put,CNY,26.26,16.67,36.5%,20.84,80.0%,30-Jan-23,"700,000",14.6,1.7,MS,1.00%,"20,370",Expired,0,"CNY premium - 145,933",0
22,29-Nov-22,OTC - Stock,,PYPL US,Sell,Put,USD,70.56,66.13,6.3%,77.80,85.0%,29-Dec-22,"12,800",1.0,0.8,MS,0.90%,"8,963",Expired,0,,0
23,1-Dec-22,OTC - Stock,,NTES US,Sell,Put,USD,76.45,54.48,28.7%,68.10,80.0%,3-Jan-23,"29,300",2.0,1.6,MS,0.72%,"14,366",Expired,0,,0
