,notl,prem,pnl,overall_hit_rate,sellcall_hit_rate,sellput_hit_rate,buycall_hit_rate,buyput_hit_rate,# Sell Call,# Sell Put,# Buy Call,# Buy Put,# Total,Sell Call PnL,Sell Put PnL,Buy Call PnL,Buy Put PnL
002050 CH,19.357606806,241072.37188899997,-9433.467234,0.9444444444444444,0.6666666666666666,1.0,NA,NA,3,15,0,0,18,48277.192304,202228.64681900002,0.0,0
002706 CH,1.202006578,16021.04,0.0,1.0,1.0,NA,NA,NA,1,0,0,0,1,16021.04,0.0,0.0,0
300012 CH,5.399773129,50038.53,-207069.17183,0.16666666666666666,NA,0.16666666666666666,NA,NA,0,6,0,0,6,0.0,257107.70183,0.0,0
300059 CH,16.782306432,149657.31999999998,0.0,1.0,1.0,1.0,NA,NA,6,3,0,0,9,99097.01,50560.31,0.0,0
300285 CH,4.397852006,40032.54912,0.0,1.0,NA,1.0,NA,NA,0,4,0,0,4,0.0,40032.54912,0.0,0
300470 CH,4.893835772,47540.59,0.0,1.0,1.0,1.0,NA,NA,1,2,0,0,3,23171.86,24368.73,0.0,0
301029 CH,4.669914539,62683.7744,0.0,1.0,NA,1.0,NA,NA,0,6,0,0,6,0.0,62683.7744,0.0,0
688036 CH,10.343751962999999,124501.72,-900839.01055,0.3333333333333333,0.14285714285714285,1.0,NA,NA,7,2,0,0,9,986500.8205500001,38839.91,0.0,0
688166 CH,2.653772586,94097.04714,-75337.64435,0.5,NA,0.5,NA,NA,0,3,0,0,3,0.0,169434.69149,0.0,0
688392 CH,20.932734793,340298.846984,-145807.900246,0.6875,NA,0.6875,NA,NA,0,20,0,0,20,0.0,486106.74723,0.0,0
688506 CH,33.578889223,633400.9345910001,-276151.373438,0.8888888888888888,NA,0.8888888888888888,NA,NA,0,41,0,0,41,0.0,909552.3080290001,0.0,0
688700 CH,0.017037319,229.5,0.0,1.0,NA,1.0,NA,NA,0,1,0,0,1,0.0,229.5,0.0,0
700 HK,0.522292994,3140.4474339999997,0.0,1.0,1.0,NA,NA,NA,2,0,0,0,2,3140.4474339999997,0.0,0.0,0
ADYEN NA,48.69399803199999,1296303.0827599997,-2064177.9280000003,0.7647058823529411,0.5,0.782608695652174,1.0,NA,4,47,1,0,52,460141.571,2901463.41976,-1123.98,0
AMZN US,3.9539508,31533.29,0.0,1.0,1.0,1.0,NA,NA,2,2,0,0,4,19592.92,11940.369999999999,0.0,0
ASML US,4.47922625,19430.0,0.0,1.0,NA,1.0,NA,NA,0,4,0,0,4,0.0,19430.0,0.0,0
DIM FP,7.534804495,102780.3065,-161257.804,0.625,NA,0.625,NA,NA,0,8,0,0,8,0.0,264038.1105,0.0,0
EVO SS,11.786854499,127809.7768668,-2212.414327,0.9333333333333333,1.0,0.9230769230769231,NA,NA,2,13,0,0,15,18796.80193,111225.38926380001,0.0,0
MKTX US,0.90132,9951.002,0.0,1.0,NA,1.0,NA,NA,0,1,0,0,1,0.0,9951.002,0.0,0
MRNA US,16.2807953,175709.201,-390687.2,0.625,0.6666666666666666,0.6153846153846154,NA,NA,4,13,0,0,17,79142.179,487254.222,0.0,0
MSFT US,0.899,6021.93,0.0,1.0,NA,1.0,NA,NA,0,1,0,0,1,0.0,6021.93,0.0,0
NOVOB DC,4.568569876,50861.91751,0.0,1.0,NA,1.0,NA,NA,0,3,0,0,3,0.0,50861.91751,0.0,0
