,No.,Trade Date,Type,Ticker,Direction,Call/Put,Currency,Spot Price,% to Strike,Strike,Ref Price,Strike %,Expiry Date,DTE,Quantity,Notl (Local),Notl ($),Delta Notl,Broker,% Premium,Status,Premium ($),Delivery PnL,Combined PnL,Strategy,Notes,FX,Cum Premium,Option Type
735,733,14-Dec-23,Listed - Stock,STAA US,Sell,Call,USD,31.56,51%,47.5,35.8,132.7%,2024-03-15,14,"57,600",$2.06,-2.74,$0.00,UBS,2.61%,Active,"$53,827",$0,"$53,827",,,1.0,"$10,713,272",Sell Call
747,745,24-Jan-24,Listed - Stock,BESI NA,Sell,Put,EUR,165.95,28%,130,146.9,88.5%,2024-03-15,50,79,$0.90,0.79,,MS,2.58%,Active,"$29,008",#NAME?,#NAME?,,,1.0,"$9,250,312",Sell Put
748,746,24-Jan-24,Listed - Stock,BESI NA,Sell,Put,EUR,165.95,14%,145,146.9,98.7%,2024-03-15,50,61,$0.90,0.88,,MS,5.64%,Active,"$50,547",#NAME?,#NAME?,,,1.0,"$9,300,859",Sell Put
751,749,1-Feb-24,Listed - Stock,STAA US,Sell,Call,USD,31.56,19%,37.5,28.7,130.7%,2024-03-15,14,400,$0.01,-0.02,$0.00,UBS,1.54%,Active,$177,$0,$177,,,1.0,"$9,377,511",Sell Call
752,750,2-Feb-24,OTC - Stock,ADYEN NA,Sell,Call,EUR,1456.4,-11%,1300,1209.4,107.5%,2024-03-15,14,"1,520",$1.84,-1.98,-$1.93,UBS,3.74%,Active,"$68,808","-$257,103","-$188,295",,,1.0815,"$9,446,319",Sell Call
753,751,2-Feb-24,OTC - Stock,ADYEN NA,Sell,Call,USD,1456.4,-4%,1400,1209.4,115.8%,2024-03-15,14,"1,520",$1.84,-2.13,-$1.42,UBS,1.70%,Active,"$31,340","-$85,728","-$54,388",,,1.0,"$9,477,659",Sell Call
754,752,2-Feb-24,Listed - Stock,ONON US,Sell,Put,USD,34.25,52%,22.5,27.3,82.4%,2024-03-15,14,100,$0.00,0.0,$0.00,UBS,1.08%,Active,$29,$0,$29,,,1.0,"$9,477,689",Sell Put
756,754,2-Feb-24,Listed - Stock,ADYEN NA,Sell,Call,EUR,1456.4,-11%,1300,1209.4,107.5%,2024-03-15,14,840,$1.02,-1.09,-$1.06,MS,3.71%,Active,"$37,707","-$142,083","-$104,376",,,1.0815,"$9,560,951",Sell Call
757,755,2-Feb-24,Listed - Stock,ADYEN NA,Sell,Call,EUR,1456.4,-4%,1400,1209.4,115.8%,2024-03-15,14,840,$1.02,-1.18,-$0.85,MS,1.73%,Active,"$17,610","-$51,237","-$33,627",,,1.0815,"$9,578,560",Sell Call
758,756,2-Feb-24,Listed - Stock,ADYEN NA,Sell,Put,EUR,1456.4,49%,980,1209.4,81.0%,2024-03-15,14,10,$0.01,0.01,$0.00,MS,1.12%,Active,$136,$0,$136,,,1.0815,"$9,578,696",Sell Put
759,757,2-Feb-24,Listed - Stock,BESI NA,Sell,Put,EUR,165.95,38%,120,142.6,84.2%,2024-03-15,14,"7,100",$1.01,0.85,$0.00,MS,1.49%,Active,"$15,083",$0,"$15,083",,,1.0815,"$9,593,780",Sell Put
