,contractSymbol,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,expirationDate,CALL,last,mark
0,ONON240301C00015000,15.0,17.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,2024-03-01,True,17.0,0.0
1,ONON240301C00020000,20.0,7.22,0.0,0.0,1.0,0,1.0000000000000003e-05,True,2024-03-01,True,7.22,0.0
2,ONON240301C00023000,23.0,5.4,8.3,10.6,10.0,10,1.0000000000000003e-05,True,2024-03-01,True,5.4,9.45
3,ONON240301C00025000,25.0,4.0,0.0,0.0,15.0,15,1.0000000000000003e-05,True,2024-03-01,True,4.0,0.0
4,ONON240301C00026000,26.0,2.13,0.0,0.0,40.0,0,1.0000000000000003e-05,True,2024-03-01,True,2.13,0.0
5,ONON240301C00027000,27.0,2.26,0.0,0.0,3.0,0,1.0000000000000003e-05,True,2024-03-01,True,2.26,0.0
6,ONON240301C00027500,27.5,3.85,0.0,0.0,4.0,0,1.0000000000000003e-05,True,2024-03-01,True,3.85,0.0
7,ONON240301C00028000,28.0,7.1,0.0,0.0,2.0,0,1.0000000000000003e-05,True,2024-03-01,True,7.1,0.0
8,ONON240301C00028500,28.5,4.7,0.0,0.0,2.0,0,1.0000000000000003e-05,True,2024-03-01,True,4.7,0.0
9,ONON240301C00029000,29.0,5.25,0.0,0.0,433.0,0,1.0000000000000003e-05,True,2024-03-01,True,5.25,0.0
10,ONON240301C00029500,29.5,4.05,0.0,0.0,1.0,0,1.0000000000000003e-05,True,2024-03-01,True,4.05,0.0
11,ONON240301C00030000,30.0,4.62,0.0,0.0,128.0,0,1.0000000000000003e-05,True,2024-03-01,True,4.62,0.0
12,ONON240301C00030500,30.5,2.58,0.0,0.0,6.0,0,1.0000000000000003e-05,True,2024-03-01,True,2.58,0.0
13,ONON240301C00031000,31.0,2.75,0.0,0.0,2.0,0,1.0000000000000003e-05,True,2024-03-01,True,2.75,0.0
14,ONON240301C00031500,31.5,3.75,0.0,0.0,1.0,0,1.0000000000000003e-05,True,2024-03-01,True,3.75,0.0
15,ONON240301C00032000,32.0,2.11,0.0,0.0,29.0,0,1.0000000000000003e-05,True,2024-03-01,True,2.11,0.0
16,ONON240301C00032500,32.5,2.5,0.0,0.0,7.0,0,1.0000000000000003e-05,True,2024-03-01,True,2.5,0.0
17,ONON240301C00033000,33.0,2.0,0.0,0.0,20.0,0,1.0000000000000003e-05,True,2024-03-01,True,2.0,0.0
18,ONON240301C00033500,33.5,1.52,0.0,0.0,5.0,0,1.0000000000000003e-05,True,2024-03-01,True,1.52,0.0
19,ONON240301C00034000,34.0,1.13,0.0,0.0,45.0,0,1.0000000000000003e-05,True,2024-03-01,True,1.13,0.0
20,ONON240301C00034500,34.5,0.56,0.0,0.0,13.0,0,1.0000000000000003e-05,True,2024-03-01,True,0.56,0.0
21,ONON240301C00035000,35.0,0.38,0.0,0.0,842.0,0,1.0000000000000003e-05,True,2024-03-01,True,0.38,0.0
22,ONON240301C00035500,35.5,0.12,0.0,0.0,158.0,0,0.062509375,False,2024-03-01,True,0.12,0.0
23,ONON240301C00036000,36.0,0.09,0.0,0.0,67.0,0,0.12500875,False,2024-03-01,True,0.09,0.0
24,ONON240301C00036500,36.5,0.02,0.0,0.0,5.0,0,0.2500075,False,2024-03-01,True,0.02,0.0
25,ONON240301C00037000,37.0,0.06,0.0,0.0,9.0,0,0.2500075,False,2024-03-01,True,0.06,0.0
26,ONON240301P00020000,20.0,0.01,0.0,0.0,2.0,0,0.500005,False,2024-03-01,False,0.01,0.0
27,ONON240301P00021000,21.0,0.25,0.0,0.0,1.0,0,0.500005,False,2024-03-01,False,0.25,0.0
28,ONON240301P00022000,22.0,0.01,0.0,0.0,1.0,0,0.500005,False,2024-03-01,False,0.01,0.0
29,ONON240301P00023000,23.0,0.01,0.0,0.0,1.0,0,0.500005,False,2024-03-01,False,0.01,0.0
30,ONON240301P00024000,24.0,0.01,0.0,0.0,1.0,0,0.500005,False,2024-03-01,False,0.01,0.0
31,ONON240301P00025000,25.0,0.37,0.0,0.0,30.0,0,0.500005,False,2024-03-01,False,0.37,0.0
32,ONON240301P00026000,26.0,0.01,0.0,0.0,107.0,0,0.500005,False,2024-03-01,False,0.01,0.0
33,ONON240301P00026500,26.5,0.21,0.0,0.0,,0,0.500005,False,2024-03-01,False,0.21,0.0
34,ONON240301P00027000,27.0,0.04,0.0,0.0,10.0,0,0.500005,False,2024-03-01,False,0.04,0.0
35,ONON240301P00027500,27.5,0.05,0.0,0.0,5.0,0,0.500005,False,2024-03-01,False,0.05,0.0
36,ONON240301P00028000,28.0,0.25,0.0,0.0,1.0,0,0.500005,False,2024-03-01,False,0.25,0.0
37,ONON240301P00028500,28.5,0.04,0.0,0.0,5.0,0,0.500005,False,2024-03-01,False,0.04,0.0
